,continent,Year,Energy use (kg of oil equivalent per capita)
850,Europe,1962,2124.84853926
851,Europe,1967,2388.41234673
852,Europe,1972,4017.33738516
853,Europe,1977,4336.0874042
854,Europe,1982,4257.86440736
855,Europe,1987,4616.39706207
856,Europe,1992,4190.98422047
857,Europe,1997,4203.3573666
858,Europe,2002,4108.40129887
859,Europe,2007,3985.80810152
862,Africa,1972,348.93189080300004
863,Africa,1977,381.515147025
864,Africa,1982,376.70889698800005
865,Africa,1987,363.852104774
866,Africa,1992,366.522645114
867,Africa,1997,398.339353834
868,Africa,2002,317.525749335
869,Africa,2007,278.76098947099996
880,Europe,1962,350.10125786099997
881,Europe,1967,607.702155943
882,Europe,1972,1134.78649348
883,Europe,1977,1469.54942907
884,Europe,1982,1537.27769706
885,Europe,1987,1791.83338591
886,Europe,1992,2129.89451644
887,Europe,1997,2282.13703466
888,Europe,2002,2597.74828926
889,Europe,2007,2734.92011068
922,Americas,1972,491.47344241300004
923,Americas,1977,574.359356263
924,Americas,1982,482.712477796
925,Americas,1987,448.694681999
926,Americas,1992,497.344297754
927,Americas,1997,526.326033275
928,Americas,2002,590.478746775
929,Americas,2007,616.892076168
949,Africa,2007,62.1995597581
962,Americas,1972,317.810225983
963,Americas,1977,350.433910995
964,Americas,1982,301.84769275599996
965,Americas,1987,226.32697135400002
966,Americas,1992,219.075496949
967,Americas,1997,252.46309335599997
968,Americas,2002,261.374331488
969,Americas,2007,384.513775199
992,Americas,1972,499.277043223
993,Americas,1977,512.605428263
994,Americas,1982,520.393217065
995,Americas,1987,481.319956646
996,Americas,1992,483.33554394699996
997,Americas,1997,528.901564325
998,Americas,2002,516.4041365740001
999,Americas,2007,657.398639731
1011,Europe,1967,1476.04957577
1012,Europe,1972,1880.53879751
1013,Europe,1977,2428.82933004
1014,Europe,1982,2630.75848148
1015,Europe,1987,2894.82745315
1016,Europe,1992,2423.17944795
1017,Europe,1997,2527.30162599
1018,Europe,2002,2520.15246577
1019,Europe,2007,2658.03637311
1070,Europe,1962,3028.29836932
1071,Europe,1967,3594.36178937
1072,Europe,1972,4403.96964669
1073,Europe,1977,5602.87016623
1074,Europe,1982,7076.20798768
1075,Europe,1987,7857.45488268
1076,Europe,1992,7755.39441578
1077,Europe,1997,8584.10049866
1078,Europe,2002,10804.6417156
1079,Europe,2007,14746.031338499999
1082,Asia,1972,268.485083335
1083,Asia,1977,283.275393642
1084,Asia,1982,299.592677132
1085,Asia,1987,325.73809089400004
1086,Asia,1992,365.379491444
1087,Asia,1997,399.05252890699995
1088,Asia,2002,423.58011441900004
1089,Asia,2007,486.292374786
1092,Asia,1972,301.357990782
1093,Asia,1977,347.868204367
1094,Asia,1982,388.83462499800004
1095,Asia,1987,436.66323497900004
1096,Asia,1992,574.344890279
1097,Asia,1997,690.7954914339999
1098,Asia,2002,760.140852043
1099,Asia,2007,788.5836582439999
1112,Asia,1972,405.152489951
1113,Asia,1977,626.354937731
1114,Asia,1982,690.323799679
1115,Asia,1987,958.1894716610001
1116,Asia,1992,1311.18896852
1117,Asia,1997,1861.7960965
1118,Asia,2002,1130.94271589
1119,Asia,2007,892.39580238
1120,Europe,1962,1412.72967684
1121,Europe,1967,1767.42510638
1122,Europe,1972,2194.51306452
1123,Europe,1977,2203.82152215
1124,Europe,1982,2356.8942567
1125,Europe,1987,2608.80658136
1126,Europe,1992,2775.21800345
1127,Europe,1997,3255.49845122
1128,Europe,2002,3661.32224061
1129,Europe,2007,3416.03094562
1142,Asia,1972,1756.33100381
1143,Asia,1977,1786.48768337
