,country/region,lat,long,total_confirmed_cases,total_recovered,total_death
99,Jamaica,18.1096,-77.2975,143610,0,3148
100,Dominican Republic,18.7357,-70.1627,616024,0,4383
101,Haiti,18.9712,-72.2852,31767,0,837
102,Laos,19.85627,102.495496,210348,0,757
103,India,20.593684,78.96288,43604394,0,525386
104,Mauritania,21.0079,-10.9408,61024,0,986
105,Oman,21.512583,55.923255,391641,0,4628
106,Cuba,21.521757,-77.781167,1106327,0,8529
107,Burma,21.9162,95.956,613711,0,19434
108,United Arab Emirates,23.424076,53.847818,959736,0,2322
109,Mexico,23.6345,-102.5528,6185219,0,325976
110,Bangladesh,23.685,90.3563,1988101,0,29195
111,Taiwan*,23.7,121.0,4026067,0,7459
112,Saudi Arabia,23.885942,45.079162,799435,0,9219
113,Bahamas,25.025885,-78.035889,36159,0,822
114,Qatar,25.3548,51.1839,387845,0,679
115,Bahrain,26.0275,50.55,637542,0,1498
116,Libya,26.3351,17.228331,502189,0,6430
117,Egypt,26.820553,30.802498,515645,0,24724
118,Bhutan,27.5142,90.4336,59824,0,21
119,Algeria,28.0339,1.6596,266228,0,6875
120,Nepal,28.1667,84.25,980141,0,11952
121,Kuwait,29.31166,47.481766,646098,0,2556
122,Pakistan,30.3753,69.3451,1542377,0,30420
123,Israel,31.046051,34.851612,4435991,0,11056
124,Jordan,31.24,36.51,1700526,0,14068
125,Morocco,31.7917,-7.0926,1238371,0,16147
126,West Bank and Gaza,31.9522,35.2332,662490,0,5662
127,Iran,32.427908,53.688046,7246707,0,141427
128,Iraq,33.223191,43.679291,2379077,0,25253
129,Lebanon,33.8547,35.8623,1121054,0,10473
130,Tunisia,33.886917,9.537499,1066127,0,28748
131,Afghanistan,33.93911,67.709953,183221,0,7728
132,Cyprus,35.1264,33.4299,530510,0,1079
133,Summer Olympics 2020,35.6491,139.7737,865,0,0
134,"Korea, South",35.907757,127.766922,18491435,0,24624
135,Malta,35.9375,14.3754,107812,0,754
136,Japan,36.204824,138.252924,9584835,0,31404
137,Tajikistan,38.861,71.2761,17786,0,125
